created_at;_id;Origem;Destino;Mês;Dia da Semana;shipping.type;coupon.code;coupon.title;status_object.reason;cancellation_reason_translate;pharmacy_id;coupon.discount;total
19/01/2024 11:29;01HMH20NZ0ARDQ-1;DF-BRASILIA;df-brasilia;1;6;PICKUP;PARABENS;ANIVERSÁRIO FAPP - PARABENS 23%;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13585;20,69;69,28
19/01/2024 11:25;MK240119BCQX22-2;SP-SAO PAULO;sp-guarulhos;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;294;0;39,98
19/01/2024 11:24;MK240119IEZ2T5-1;PE-RECIFE;pe-recife;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;13512;0;59,94
19/01/2024 11:23;MK240119HQMA3K-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14413;0;45,88
19/01/2024 11:19;MK240119EIV9Q1-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;3154;0;168,81
19/01/2024 11:08;MK2401195C13WD-5;SP-PRESIDENTE PRUDENTE;sp-artur nogueira;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;6609;0;56,52
19/01/2024 11:08;MK2401195C13WD-3;SP-SAO PAULO;sp-artur nogueira;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11107;0;461,16
19/01/2024 11:08;MK2401195C13WD-2;SP-SAO PAULO;sp-artur nogueira;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;;;13912;0;138,58
19/01/2024 10:50;01HMGZRYYEVRFR-1;SP-SAO PAULO;sp-sao paulo;1;6;PICKUP;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12109;;124,24
19/01/2024 10:46;MK240119Q53NVH-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;371;;37,73
19/01/2024 10:45;01HMGZFR79PHSR-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;14763;;46,88
19/01/2024 10:43;MK240119V94A45-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;14763;0;11,99
19/01/2024 10:40;MK24011920TCN3-2;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14503;0;94,91
19/01/2024 10:38;MK2401193X5WQM-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11107;0;289
19/01/2024 10:35;MK240119Q80A8W-2;SP-MAUA;sp-sao paulo;1;6;DELIVERY;livelo;LIVELO SEM VALOR 2024;CANCELLATION_AREA_NOT_COVERED;Área de entrega não atendida;3040;0;23,78
19/01/2024 10:25;01HMGYBTKQ7279-1;MG-BELO HORIZONTE;mg-contagem;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;13856;;28,62
19/01/2024 10:16;MK2401195B4N1Q-1;RS-PELOTAS;rs-pelotas;1;6;PICKUP;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;13718;0;206,91
19/01/2024 10:15;01HMGXSSQ7JGP8-1;SC-BLUMENAU;sc-blumenau;1;6;DELIVERY;COMPRINHA;CUPOM COMPRINHA - JAN24;CANCELLATION_GAVE_UP;Desistência do Cliente;469;10;71,8
19/01/2024 10:11;MK240119LWSB9H-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11107;0;297,39
19/01/2024 10:10;MK240119G5V7Q2-2;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13912;0;162,21
19/01/2024 10:10;MK240119VU58F8-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;11107;;66,06
19/01/2024 10:02;01HMGX1YNQQCJT-1;BA-SALVADOR;ba-salvador;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;442;0;83,95
19/01/2024 09:58;01HMGWSSH4G0E8-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;2266;;39,3
19/01/2024 09:49;01HMGWAKF9R9KE-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13599;;30,47
19/01/2024 09:46;MK240119YLP93D-1;PR-LONDRINA;pr-londrina;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;5832;0;65,34
19/01/2024 09:42;01HMGVXP4GKF58-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13610;0;293,9
19/01/2024 09:42;01HMGVWK3D8VFQ-1;DF-BRASILIA;df-brasilia;1;6;PICKUP;PARABENS;ANIVERSÁRIO FAPP - PARABENS 23%;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13602;21;978,99
19/01/2024 09:39;01HMGVQ41JZX05-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;14794;;25,02
19/01/2024 09:38;MK240119Z8LGVT-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;3154;0;214,11
19/01/2024 09:29;01HMGV51J03BRP-1;MG-UBERLANDIA;mg-uberlandia;1;6;PICKUP;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;3133;;23,66
19/01/2024 09:26;01HMGTZ0QE7WY3-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;355;0;25,98
19/01/2024 09:20;01HMGTNHY1K691-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;11481;0;62,23
19/01/2024 08:55;01HMGS7BMEJCR6-1;PR-PINHAIS;pr-piraquara;1;6;DELIVERY;;;CANCELLATION_OTHER;Outro;13897;;37,98
19/01/2024 08:36;01HMGR3DGBEZRB-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9400;;42,98
19/01/2024 08:20;01HMGQ6VCNQS7G-1;CE-FORTALEZA;ce-fortaleza;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;12565;;17,91
19/01/2024 08:02;01HMGP6AJ71M5B-1;SE-ARACAJU;se-barra dos coqueiros;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14467;0;49,24
19/01/2024 08:01;01HMGP4X0N296A-1;SP-CAMPINAS;sp-campinas;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;329;0;31,96
19/01/2024 08:01;01HMGP4360XVTG-1;PE-JABOATAO DOS GUARARAPES;pe-recife;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9869;0;145
19/01/2024 07:56;01HMGNTS53JANH-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14103;;25,97
19/01/2024 07:38;01HMGMS4XHN6ZD-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12109;;124,24
